Game ID,Year,Region,Team Blue,Team Red,Winner,FT5 Winner,Champ 1,Champ 2,Champ 3,Champ 4,Champ 5,Champ 6,Champ 7,Champ 8,Champ 9,Champ 10
73391,2026,LCK,DRX,DN SOOPers,DN SOOPers,DN SOOPers,Gnar,Pantheon,Taliyah,Sivir,Leona,Kennen,Lee Sin,Ryze,Aphelios,Neeko
73392,2026,LCK,DN SOOPers,DRX,DN SOOPers,DRX,KSante,Jayce,Zoe,Kalista,Renata Glasc,Gwen,Jarvan IV,Aurora,Lucian,Nami
73393,2026,LCK,Hanwha Life Esports,HANJIN BRION,Hanwha Life Esports,HANJIN BRION,Gnar,Jarvan IV,Azir,Varus,Rakan,Renekton,Nocturne,Orianna,Jhin,Pantheon
73394,2026,LCK,Hanwha Life Esports,HANJIN BRION,HANJIN BRION,HANJIN BRION,Zaahen,Aatrox,Aurora,Yunara,Poppy,Ambessa,Xin Zhao,Taliyah,Corki,Elise
73395,2026,LCK,HANJIN BRION,Hanwha Life Esports,Hanwha Life Esports,Hanwha Life Esports,KSante,Wukong,Ryze,Lucian,Braum,Gwen,Vi,Akali,Sivir,Alistar
73396,2026,LCK,Gen.G,BNK FearX,Gen.G,BNK FearX,Renekton,Jarvan IV,Azir,Corki,Nami,KSante,Pantheon,Akali,Yunara,Lulu
73397,2026,LCK,Gen.G,BNK FearX,Gen.G,BNK FearX,Gwen,Xin Zhao,Ryze,Jhin,Rakan,Ambessa,Qiyana,Orianna,Ezreal,Leona
73399,2026,LCK,T1,KT Rolster,T1,T1,Gnar,Vi,Ryze,Ezreal,Lissandra,Renekton,Wukong,Taliyah,Varus,Rakan
73400,2026,LCK,T1,KT Rolster,T1,KT Rolster,Zaahen,Dr. Mundo,Azir,Aphelios,Lulu,RekSai,Sejuani,Akali,Yunara,Neeko
73402,2026,LCK,DRX,Nongshim RedForce,DRX,Nongshim RedForce,Gnar,Vi,Ryze,Kaisa,Neeko,Renekton,Jayce,Taliyah,Yunara,Alistar
73403,2026,LCK,DRX,Nongshim RedForce,Nongshim RedForce,DRX,Gwen,Pantheon,Akali,Corki,Poppy,Zaahen,Jarvan IV,Aurora,Kalista,Renata Glasc
73404,2026,LCK,Nongshim RedForce,DRX,DRX,DRX,Sion,Xin Zhao,Azir,Caitlyn,Braum,KSante,Jax,Orianna,Jhin,Bard
73405,2026,LCK,DN SOOPers,Hanwha Life Esports,Hanwha Life Esports,DN SOOPers,RekSai,Jarvan IV,Orianna,Sivir,Alistar,Sion,Xin Zhao,Azir,Varus,Rakan
73406,2026,LCK,DN SOOPers,Hanwha Life Esports,DN SOOPers,Hanwha Life Esports,KSante,Wukong,Ahri,Ezreal,Neeko,Aurora,Vi,Taliyah,Corki,Bard
73407,2026,LCK,DN SOOPers,Hanwha Life Esports,Hanwha Life Esports,DN SOOPers,Aatrox,Hecarim,Cassiopeia,Aphelios,Rell,Renekton,Trundle,Ryze,Ziggs,Nautilus
73408,2026,LCK,Dplus KIA,Gen.G,Gen.G,Gen.G,Ambessa,Jarvan IV,Ryze,Corki,Nami,Gwen,Xin Zhao,Anivia,Varus,Bard
73409,2026,LCK,Gen.G,Dplus KIA,Gen.G,Gen.G,Rumble,Wukong,Galio,Ashe,Seraphine,Sion,Vi,Syndra,Yunara,Lulu
73411,2026,LCK,BNK FearX,T1,T1,T1,Rumble,Nocturne,Taliyah,Varus,Neeko,Jayce,Vi,Ryze,Corki,Nami
73412,2026,LCK,T1,BNK FearX,BNK FearX,BNK FearX,Aurora,Xin Zhao,Yone,Aphelios,Thresh,Sion,Jarvan IV,Syndra,Lucian,Milio
73413,2026,LCK,BNK FearX,T1,T1,T1,Gnar,Qiyana,Ahri,Ezreal,Rell,KSante,Pantheon,Galio,Kaisa,Bard
73414,2026,LCK,HANJIN BRION,KT Rolster,HANJIN BRION,HANJIN BRION,Gwen,Pantheon,Orianna,Corki,Rakan,KSante,Xin Zhao,Azir,Lucian,Braum
73415,2026,LCK,HANJIN BRION,KT Rolster,KT Rolster,HANJIN BRION,Renekton,Ambessa,Ryze,Varus,Karma,Gnar,Dr. Mundo,Taliyah,Yunara,Neeko
