Game ID,Year,Region,Team Blue,Team Red,Winner,FT5 Winner,Champ 1,Champ 2,Champ 3,Champ 4,Champ 5,Champ 6,Champ 7,Champ 8,Champ 9,Champ 10
68753,2025,LPL,Top Esports,Bilibili Gaming,Bilibili Gaming,N/A,Sion,Xin Zhao,Azir,Miss Fortune,Leona,Yorick,Wukong,Ahri,Lucian,Rell
68754,2025,LPL,Top Esports,Bilibili Gaming,Bilibili Gaming,N/A,Ornn,Trundle,Yone,Ashe,Seraphine,Ambessa,Sejuani,Aurora,Kalista,Renata Glasc
68757,2025,LPL,Anyone s Legend,Weibo Gaming,Anyone s Legend,N/A,Yorick,Sejuani,Azir,Jhin,Rell,Rumble,Pantheon,Aurora,Varus,Leona
68758,2025,LPL,Weibo Gaming,Anyone s Legend,Weibo Gaming,N/A,Ambessa,Skarner,Taliyah,Kalista,Renata Glasc,Nidalee,Vi,Orianna,Ashe,Seraphine
68759,2025,LPL,Anyone s Legend,Weibo Gaming,Anyone s Legend,N/A,Gwen,Volibear,Sylas,Ezreal,Karma,Sion,Xin Zhao,Ryze,Xayah,Rakan
68760,2025,LPL,Weibo Gaming,Anyone s Legend,Anyone s Legend,N/A,Renekton,Lillia,Galio,Kaisa,Alistar,Ornn,Nocturne,Ahri,Lucian,Braum
68762,2025,LPL,ULF Esports,Karmine Corp Blue,Karmine Corp Blue,Karmine Corp Blue,Nidalee,Wukong,Taliyah,Xayah,Rakan,Yorick,Xin Zhao,Azir,Senna,Alistar
68930,2025,LPL,Weibo Gaming,Invictus Gaming,Weibo Gaming,N/A,Gwen,Wukong,Ahri,Ezreal,Karma,Aurora,Naafiri,Azir,Kalista,Renata Glasc
68931,2025,LPL,Invictus Gaming,Weibo Gaming,Invictus Gaming,N/A,Rumble,Poppy,Ryze,Miss Fortune,Leona,KSante,Pantheon,Galio,Lucian,Rell
68932,2025,LPL,Weibo Gaming,Invictus Gaming,Invictus Gaming,N/A,Sion,Zyra,Corki,Varus,Rakan,Yorick,Lillia,Orianna,Jhin,Alistar
68933,2025,LPL,Weibo Gaming,Invictus Gaming,Invictus Gaming,N/A,Ambessa,Trundle,Sylas,Kaisa,Sett,Jayce,Sejuani,Yone,Xayah,Bard
68935,2025,LPL,Top Esports,Team WE,Top Esports,N/A,Sion,Naafiri,Azir,Jhin,Rell,Rumble,Poppy,Ahri,Varus,Renata Glasc
68936,2025,LPL,Team WE,Top Esports,Team WE,N/A,Renekton,Trundle,Ryze,Kaisa,Alistar,Gragas,Sejuani,Yone,Ezreal,Rakan
68937,2025,LPL,Top Esports,Team WE,Top Esports,N/A,Aatrox,Xin Zhao,Taliyah,Tristana,Braum,Ambessa,Pantheon,Sylas,Smolder,Leona
